id,name,year,affected_countries,estimated_population_affected,ideal_plan_text
katrina_2005,Hurricane Katrina,2005,United States,1500000,"Ideal Response Plan for Hurricane Katrina (2005)

Affected countries/territories: United States
Estimated population affected: 1,500,000

Key priorities:
- Education: Support 450,361 people with a budget of $13,774,515.
- WASH: Support 437,679 people with a budget of $17,156,064.
- Health: Support 428,818 people with a budget of $17,656,125.
- Protection: Support 360,687 people with a budget of $16,071,817.
- Shelter: Support 349,923 people with a budget of $11,682,295.

Sector-specific actions:
- Reopen schools and provide learning materials for children.
- Ensure access to clean water and sanitation to prevent disease outbreaks.
- Provide immediate health services, including mobile clinics and medical supplies.
- Safeguard vulnerable groups and prevent exploitation and abuse.
- Deploy emergency shelters and repair homes for displaced families.

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
sandy_2012,Hurricane Sandy,2012,"United States, Jamaica, Haiti, Cuba, Bahamas",65000000,"Ideal Response Plan for Hurricane Sandy (2012)

Affected countries/territories: United States, Jamaica, Haiti, Cuba, Bahamas
Estimated population affected: 65,000,000

Key priorities:
- Protection: Support 804,584 people with a budget of $20,571,824.
- Livelihoods: Support 579,370 people with a budget of $19,158,654.
- Education: Support 463,836 people with a budget of $24,791,264.
- Shelter: Support 328,215 people with a budget of $19,272,095.
- WASH: Support 225,688 people with a budget of $16,037,356.

Sector-specific actions:
- Safeguard vulnerable groups and prevent exploitation and abuse.
- Support recovery of jobs and income-generating activities.
- Reopen schools and provide learning materials for children.
- Deploy emergency shelters and repair homes for displaced families.
- Ensure access to clean water and sanitation to prevent disease outbreaks.

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
maria_2017,Hurricane Maria,2017,"Puerto Rico, Dominica, Dominican Republic",3200000,"Ideal Response Plan for Hurricane Maria (2017)

Affected countries/territories: Puerto Rico, Dominica, Dominican Republic
Estimated population affected: 3,200,000

Key priorities:
- Livelihoods: Support 504,264 people with a budget of $11,343,010.
- Food Security: Support 363,161 people with a budget of $6,918,419.
- Energy: Support 305,380 people with a budget of $9,170,883.
- Education: Support 233,819 people with a budget of $8,708,230.
- Health: Support 228,271 people with a budget of $9,625,605.

Sector-specific actions:
- Support recovery of jobs and income-generating activities.
- Distribute emergency food rations and restore food supply chains.
- Restore power and critical infrastructure for relief operations.
- Reopen schools and provide learning materials for children.
- Provide immediate health services, including mobile clinics and medical supplies.

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
harvey_2017,Hurricane Harvey,2017,United States,13000000,"Ideal Response Plan for Hurricane Harvey (2017)

Affected countries/territories: United States
Estimated population affected: 13,000,000

Key priorities:
- Food Security: Support 631,767 people with a budget of $25,469,042.
- Education: Support 419,807 people with a budget of $12,612,680.
- Health: Support 336,328 people with a budget of $10,054,346.
- Shelter: Support 306,752 people with a budget of $8,968,727.
- WASH: Support 230,581 people with a budget of $13,605,265.

Sector-specific actions:
- Distribute emergency food rations and restore food supply chains.
- Reopen schools and provide learning materials for children.
- Provide immediate health services, including mobile clinics and medical supplies.
- Deploy emergency shelters and repair homes for displaced families.
- Ensure access to clean water and sanitation to prevent disease outbreaks.

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
haiyan_2013,Typhoon Haiyan,2013,"Philippines, Vietnam, China",11000000,"Ideal Response Plan for Typhoon Haiyan (2013)

Affected countries/territories: Philippines, Vietnam, China
Estimated population affected: 11,000,000

Key priorities:
- WASH: Support 335,416 people with a budget of $10,028,874.
- Livelihoods: Support 334,774 people with a budget of $7,472,783.
- Shelter: Support 292,807 people with a budget of $8,025,421.
- Protection: Support 224,531 people with a budget of $9,320,060.
- Education: Support 125,326 people with a budget of $2,156,115.

Sector-specific actions:
- Ensure access to clean water and sanitation to prevent disease outbreaks.
- Support recovery of jobs and income-generating activities.
- Deploy emergency shelters and repair homes for displaced families.
- Safeguard vulnerable groups and prevent exploitation and abuse.
- Reopen schools and provide learning materials for children.

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
dorian_2019,Hurricane Dorian,2019,"Bahamas, United States, Canada",700000,"Ideal Response Plan for Hurricane Dorian (2019)

Affected countries/territories: Bahamas, United States, Canada
Estimated population affected: 700,000

Key priorities:
- WASH: Support 312,825 people with a budget of $11,263,892.
- Protection: Support 147,067 people with a budget of $5,095,391.
- Education: Support 113,021 people with a budget of $8,436,477.
- Food Security: Support 88,332 people with a budget of $5,551,669.
- Shelter: Support 4,461 people with a budget of $590,708.

Sector-specific actions:
- Ensure access to clean water and sanitation to prevent disease outbreaks.
- Safeguard vulnerable groups and prevent exploitation and abuse.
- Reopen schools and provide learning materials for children.
- Distribute emergency food rations and restore food supply chains.
- Deploy emergency shelters and repair homes for displaced families.

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
irma_2017,Hurricane Irma,2017,"Barbuda, Saint Martin, Cuba, United States",3700000,"Ideal Response Plan for Hurricane Irma (2017)

Affected countries/territories: Barbuda, Saint Martin, Cuba, United States
Estimated population affected: 3,700,000

Key priorities:
- Shelter: Support 594,778 people with a budget of $12,500,000.
- Food Security: Support 437,586 people with a budget of $8,200,000.
- Health: Support 390,142 people with a budget of $7,100,000.
- WASH: Support 246,227 people with a budget of $5,800,000.
- Protection: Support 185,000 people with a budget of $4,500,000.

Sector-specific actions:
- Deploy emergency shelters and repair damaged homes across Barbuda and Saint Martin.
- Distribute emergency food rations and restore food supply chains in Cuba and Florida.
- Provide immediate health services including mobile clinics and medical supplies.
- Ensure access to clean water and sanitation to prevent disease outbreaks.
- Safeguard vulnerable groups including women and children in evacuation shelters.

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
michael_2018,Hurricane Michael,2018,"United States, Cuba",500000,"Ideal Response Plan for Hurricane Michael (2018)

Affected countries/territories: United States, Cuba
Estimated population affected: 500,000

Key priorities:
- Shelter: Support 200,000 people with a budget of $5,200,000.
- Health: Support 150,000 people with a budget of $3,100,000.
- Food Security: Support 120,000 people with a budget of $2,800,000.
- WASH: Support 100,000 people with a budget of $1,500,000.
- Protection: Support 80,000 people with a budget of $2,000,000.

Sector-specific actions:
- Deploy emergency shelters across Florida panhandle devastated by Cat 5 winds.
- Provide health services in Mexico Beach and surrounding communities.
- Distribute emergency food supplies to isolated rural communities in Georgia and Alabama.
- Ensure access to clean water following infrastructure destruction.
- Safeguard vulnerable populations in damaged communities.

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
florence_2018,Hurricane Florence,2018,United States,1800000,"Ideal Response Plan for Hurricane Florence (2018)

Affected countries/territories: United States
Estimated population affected: 1,800,000

Key priorities:
- Shelter: Support 500,000 people with a budget of $8,500,000.
- Food Security: Support 400,000 people with a budget of $4,200,000.
- WASH: Support 300,000 people with a budget of $3,100,000.
- Health: Support 200,000 people with a budget of $2,000,000.
- Protection: Support 150,000 people with a budget of $1,800,000.

Sector-specific actions:
- Deploy emergency shelters across flood-devastated North Carolina.
- Distribute emergency food supplies to communities isolated by record flooding.
- Ensure access to clean water in areas contaminated by floodwaters.
- Provide health services and address waterborne disease risks.
- Safeguard vulnerable populations in mass shelter facilities.

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
ida_2021,Hurricane Ida,2021,United States,2000000,"Ideal Response Plan for Hurricane Ida (2021)

Affected countries/territories: United States
Estimated population affected: 2,000,000

Key priorities:
- Shelter: Support 650,000 people with a budget of $12,000,000.
- Food Security: Support 450,000 people with a budget of $6,500,000.
- Health: Support 350,000 people with a budget of $3,200,000.
- WASH: Support 280,000 people with a budget of $2,800,000.
- Protection: Support 200,000 people with a budget of $2,000,000.

Sector-specific actions:
- Deploy emergency shelters across Louisiana devastated by Cat 4 winds.
- Distribute emergency food supplies during prolonged power outages.
- Provide health services in communities with destroyed medical facilities.
- Ensure access to clean water following infrastructure collapse.
- Safeguard vulnerable populations in evacuation shelters.

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
ian_2022,Hurricane Ian,2022,"United States, Cuba",2500000,"Ideal Response Plan for Hurricane Ian (2022)

Affected countries/territories: United States, Cuba
Estimated population affected: 2,500,000

Key priorities:
- Shelter: Support 800,000 people with a budget of $15,000,000.
- Food Security: Support 600,000 people with a budget of $8,000,000.
- Health: Support 450,000 people with a budget of $3,500,000.
- WASH: Support 350,000 people with a budget of $3,500,000.
- Protection: Support 250,000 people with a budget of $2,500,000.

Sector-specific actions:
- Deploy emergency shelters across southwest Florida and barrier islands.
- Distribute emergency food and water to isolated communities.
- Provide health services and medevac in areas with destroyed hospitals.
- Ensure access to clean water following storm surge contamination.
- Safeguard vulnerable populations including elderly in barrier island communities.

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
fiona_2022,Hurricane Fiona,2022,"Puerto Rico, Dominican Republic, Canada",1200000,"Ideal Response Plan for Hurricane Fiona (2022)

Affected countries/territories: Puerto Rico, Dominican Republic, Canada
Estimated population affected: 1,200,000

Key priorities:
- Shelter: Support 300,000 people with a budget of $4,500,000.
- WASH: Support 250,000 people with a budget of $2,800,000.
- Food Security: Support 200,000 people with a budget of $3,200,000.
- Health: Support 180,000 people with a budget of $1,500,000.
- Protection: Support 120,000 people with a budget of $1,000,000.

Sector-specific actions:
- Deploy emergency shelters and support home repairs in Puerto Rico.
- Ensure access to clean water following island-wide power grid collapse.
- Distribute emergency food supplies during extended blackouts.
- Provide health services in communities with compromised medical facilities.
- Safeguard vulnerable populations in displacement shelters.

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
wilma_2005,Hurricane Wilma,2005,"Mexico, United States, Cuba",800000,"Ideal Response Plan for Hurricane Wilma (2005)

Affected countries/territories: Mexico, United States, Cuba
Estimated population affected: 800,000

Key priorities:

Sector-specific actions:

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
rita_2005,Hurricane Rita,2005,United States,1200000,"Ideal Response Plan for Hurricane Rita (2005)

Affected countries/territories: United States
Estimated population affected: 1,200,000

Key priorities:

Sector-specific actions:

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
ike_2008,Hurricane Ike,2008,"United States, Cuba, Haiti",3000000,"Ideal Response Plan for Hurricane Ike (2008)

Affected countries/territories: United States, Cuba, Haiti
Estimated population affected: 3,000,000

Key priorities:

Sector-specific actions:

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
gustav_2008,Hurricane Gustav,2008,"United States, Cuba, Haiti",2000000,"Ideal Response Plan for Hurricane Gustav (2008)

Affected countries/territories: United States, Cuba, Haiti
Estimated population affected: 2,000,000

Key priorities:

Sector-specific actions:

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
cyclone_nargis_2008,Cyclone Nargis,2008,"Myanmar, Bangladesh, India",2400000,"Ideal Response Plan for Cyclone Nargis (2008)

Affected countries/territories: Myanmar, Bangladesh, India
Estimated population affected: 2,400,000

Key priorities:
- Health: Support 671,184 people with a budget of $4,000,000.
- Shelter: Support 461,741 people with a budget of $4,150,000.
- Food Security: Support 492,870 people with a budget of $4,500,000.
- WASH: Support 350,000 people with a budget of $2,800,000.
- Protection: Support 280,000 people with a budget of $1,800,000.

Sector-specific actions:
- Provide immediate health services across Ayeyarwady Division and Yangon.
- Deploy emergency shelters for displaced families in cyclone-devastated delta regions.
- Distribute emergency food rations to 2.4 million affected people.
- Ensure access to clean water and sanitation to prevent cholera outbreaks.
- Safeguard vulnerable groups and prevent exploitation in displacement camps.

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
cyclone_pam_2015,Cyclone Pam,2015,"Vanuatu, Fiji, New Caledonia",250000,"Ideal Response Plan for Cyclone Pam (2015)

Affected countries/territories: Vanuatu, Fiji, New Caledonia
Estimated population affected: 250,000

Key priorities:
- Shelter: Support 120,000 people with a budget of $3,200,000.
- WASH: Support 85,000 people with a budget of $2,100,000.
- Food Security: Support 95,000 people with a budget of $1,800,000.
- Health: Support 65,000 people with a budget of $1,200,000.
- Protection: Support 45,000 people with a budget of $800,000.

Sector-specific actions:
- Deploy emergency shelters across Shefa and Tafea provinces.
- Ensure access to clean water following widespread infrastructure destruction.
- Distribute emergency food supplies to remote island communities.
- Provide health services and prevent disease outbreaks.
- Safeguard vulnerable island populations in displacement sites.

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
typhoon_mangkhut_2018,Typhoon Mangkhut,2018,"Philippines, China, Hong Kong, Taiwan",6500000,"Ideal Response Plan for Typhoon Mangkhut (2018)

Affected countries/territories: Philippines, China, Hong Kong, Taiwan
Estimated population affected: 6,500,000

Key priorities:
- Shelter: Support 1,500,000 people with a budget of $4,500,000.
- Food Security: Support 1,200,000 people with a budget of $3,200,000.
- WASH: Support 800,000 people with a budget of $2,000,000.
- Health: Support 600,000 people with a budget of $1,500,000.
- Protection: Support 400,000 people with a budget of $1,200,000.

Sector-specific actions:
- Deploy emergency shelters across Cagayan and Ilocos Norte provinces.
- Distribute emergency food to communities devastated by super typhoon.
- Ensure access to clean water in Guangdong and Hong Kong.
- Provide health services in remote mountainous communities.
- Safeguard vulnerable populations in mass evacuation centers.

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
cyclone_idai_2019,Cyclone Idai,2019,"Mozambique, Malawi, Zimbabwe",3000000,"Ideal Response Plan for Cyclone Idai (2019)

Affected countries/territories: Mozambique, Malawi, Zimbabwe
Estimated population affected: 3,000,000

Key priorities:
- Shelter: Support 768,544 people with a budget of $5,500,000.
- Health: Support 613,289 people with a budget of $4,200,000.
- Food Security: Support 641,244 people with a budget of $3,500,000.
- WASH: Support 420,902 people with a budget of $3,800,000.
- Protection: Support 350,000 people with a budget of $2,800,000.

Sector-specific actions:
- Deploy emergency shelters in Sofala and Manica provinces.
- Provide immediate health services and prevent cholera outbreaks in Beira.
- Distribute emergency food rations across Mozambique and Zimbabwe.
- Ensure access to clean water in flood-affected Zambezia province.
- Safeguard vulnerable groups in Chimanimani district displacement sites.

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
