id,name,year,affected_countries,estimated_population_affected,ideal_plan_text
typhoon_goni_2020,Typhoon Goni,2020,"Philippines, Vietnam",2400000,"Ideal Response Plan for Typhoon Goni (2020)

Affected countries/territories: Philippines, Vietnam
Estimated population affected: 2,400,000

Key priorities:
- Shelter: Support 800,000 people with a budget of $4,800,000.
- Food Security: Support 650,000 people with a budget of $3,500,000.
- WASH: Support 500,000 people with a budget of $2,200,000.
- Health: Support 380,000 people with a budget of $1,800,000.
- Protection: Support 280,000 people with a budget of $1,500,000.

Sector-specific actions:
- Deploy emergency shelters across Albay and Camarines Sur provinces.
- Distribute emergency food rations to typhoon-devastated communities.
- Ensure access to clean water in Quezon and Bicol regions.
- Provide health services and prevent disease outbreaks.
- Safeguard vulnerable populations in evacuation centers.

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
cyclone_amphan_2020,Cyclone Amphan,2020,"India, Bangladesh, Sri Lanka",4500000,"Ideal Response Plan for Cyclone Amphan (2020)

Affected countries/territories: India, Bangladesh, Sri Lanka
Estimated population affected: 4,500,000

Key priorities:
- Shelter: Support 586,716 people with a budget of $5,500,000.
- Food Security: Support 1,004,609 people with a budget of $4,200,000.
- WASH: Support 733,639 people with a budget of $3,000,000.
- Health: Support 997,496 people with a budget of $2,500,000.
- Protection: Support 450,000 people with a budget of $2,000,000.

Sector-specific actions:
- Deploy emergency shelters for displaced families in West Bengal and Odisha.
- Distribute emergency food rations across Bangladesh and eastern India.
- Ensure access to clean water and sanitation in Kolkata and coastal areas.
- Provide immediate health services in cyclone-devastated communities.
- Safeguard vulnerable groups in evacuation shelters and displacement sites.

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
cyclone_freddy_2023,Cyclone Freddy,2023,"Mozambique, Madagascar, Malawi",1800000,"Ideal Response Plan for Cyclone Freddy (2023)

Affected countries/territories: Mozambique, Madagascar, Malawi
Estimated population affected: 1,800,000

Key priorities:
- WASH: Support 474,436 people with a budget of $3,500,000.
- Food Security: Support 677,523 people with a budget of $3,200,000.
- Shelter: Support 584,638 people with a budget of $2,500,000.
- Health: Support 303,832 people with a budget of $2,800,000.
- Protection: Support 250,000 people with a budget of $1,800,000.

Sector-specific actions:
- Ensure access to clean water and sanitation to prevent cholera outbreaks in Malawi and Mozambique.
- Distribute emergency food rations to millions affected across both countries.
- Deploy emergency shelters in Blantyre and Chikwawa districts.
- Provide immediate health services including mobile clinics in Nampula and Zambezia.
- Safeguard vulnerable groups and prevent gender-based violence in displacement sites.

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
typhoon_meranti_2016,Typhoon Meranti,2016,"Philippines, Taiwan, China",3200000,"Ideal Response Plan for Typhoon Meranti (2016)

Affected countries/territories: Philippines, Taiwan, China
Estimated population affected: 3,200,000

Key priorities:

Sector-specific actions:

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
cyclone_winston_2016,Cyclone Winston,2016,"Fiji, Tonga, Vanuatu",540000,"Ideal Response Plan for Cyclone Winston (2016)

Affected countries/territories: Fiji, Tonga, Vanuatu
Estimated population affected: 540,000

Key priorities:

Sector-specific actions:

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
typhoon_hagibis_2019,Typhoon Hagibis,2019,"Japan, Philippines",10000000,"Ideal Response Plan for Typhoon Hagibis (2019)

Affected countries/territories: Japan, Philippines
Estimated population affected: 10,000,000

Key priorities:

Sector-specific actions:

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
cyclone_yarin_2023,Cyclone Yarin,2023,"Australia, Indonesia",450000,"Ideal Response Plan for Cyclone Yarin (2023)

Affected countries/territories: Australia, Indonesia
Estimated population affected: 450,000

Key priorities:

Sector-specific actions:

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
typhoon_jebi_2018,Typhoon Jebi,2018,"Japan, South Korea",3200000,"Ideal Response Plan for Typhoon Jebi (2018)

Affected countries/territories: Japan, South Korea
Estimated population affected: 3,200,000

Key priorities:

Sector-specific actions:

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
cyclone_fani_2019,Cyclone Fani,2019,"India, Bangladesh, Sri Lanka",2800000,"Ideal Response Plan for Cyclone Fani (2019)

Affected countries/territories: India, Bangladesh, Sri Lanka
Estimated population affected: 2,800,000

Key priorities:

Sector-specific actions:

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
typhoon_lekima_2019,Typhoon Lekima,2019,"China, Taiwan, Philippines",5200000,"Ideal Response Plan for Typhoon Lekima (2019)

Affected countries/territories: China, Taiwan, Philippines
Estimated population affected: 5,200,000

Key priorities:

Sector-specific actions:

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
cyclone_taau_2016,Cyclone Taau,2016,"Samoa, Tonga, Fiji",180000,"Ideal Response Plan for Cyclone Taau (2016)

Affected countries/territories: Samoa, Tonga, Fiji
Estimated population affected: 180,000

Key priorities:

Sector-specific actions:

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
typhoon_rammasun_2014,Typhoon Rammasun,2014,"Philippines, China, Vietnam",3800000,"Ideal Response Plan for Typhoon Rammasun (2014)

Affected countries/territories: Philippines, China, Vietnam
Estimated population affected: 3,800,000

Key priorities:

Sector-specific actions:

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
cyclone_phailin_2013,Cyclone Phailin,2013,"India, Myanmar, Thailand",12000000,"Ideal Response Plan for Cyclone Phailin (2013)

Affected countries/territories: India, Myanmar, Thailand
Estimated population affected: 12,000,000

Key priorities:

Sector-specific actions:

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
typhoon_haikui_2012,Typhoon Haikui,2012,"China, Taiwan, Philippines",2800000,"Ideal Response Plan for Typhoon Haikui (2012)

Affected countries/territories: China, Taiwan, Philippines
Estimated population affected: 2,800,000

Key priorities:

Sector-specific actions:

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
cyclone_ocha_2015,Cyclone Ocha,2015,"Australia, Indonesia",320000,"Ideal Response Plan for Cyclone Ocha (2015)

Affected countries/territories: Australia, Indonesia
Estimated population affected: 320,000

Key priorities:

Sector-specific actions:

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
typhoon_chanthu_2021,Typhoon Chanthu,2021,"Philippines, China, Taiwan, South Korea",4200000,"Ideal Response Plan for Typhoon Chanthu (2021)

Affected countries/territories: Philippines, China, Taiwan, South Korea
Estimated population affected: 4,200,000

Key priorities:

Sector-specific actions:

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
cyclone_elena_2024,Cyclone Elena,2024,"Madagascar, Mozambique, Comoros",850000,"Ideal Response Plan for Cyclone Elena (2024)

Affected countries/territories: Madagascar, Mozambique, Comoros
Estimated population affected: 850,000

Key priorities:

Sector-specific actions:

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
typhoon_doksuri_2023,Typhoon Doksuri,2023,"Philippines, China, Taiwan",5800000,"Ideal Response Plan for Typhoon Doksuri (2023)

Affected countries/territories: Philippines, China, Taiwan
Estimated population affected: 5,800,000

Key priorities:

Sector-specific actions:

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
cyclone_ilona_2024,Cyclone Ilona,2024,"Australia, Timor-Leste",250000,"Ideal Response Plan for Cyclone Ilona (2024)

Affected countries/territories: Australia, Timor-Leste
Estimated population affected: 250,000

Key priorities:

Sector-specific actions:

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
typhoon_saola_2023,Typhoon Saola,2023,"Philippines, China, Hong Kong, Taiwan",4800000,"Ideal Response Plan for Typhoon Saola (2023)

Affected countries/territories: Philippines, China, Hong Kong, Taiwan
Estimated population affected: 4,800,000

Key priorities:

Sector-specific actions:

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
cyclone_tej_2023,Cyclone Tej,2023,"Oman, Yemen, Somalia",1200000,"Ideal Response Plan for Cyclone Tej (2023)

Affected countries/territories: Oman, Yemen, Somalia
Estimated population affected: 1,200,000

Key priorities:
- Shelter: Support 601,189 people with a budget of $3,200,000.
- Food Security: Support 929,720 people with a budget of $2,800,000.
- WASH: Support 477,254 people with a budget of $2,000,000.
- Health: Support 350,000 people with a budget of $1,500,000.
- Protection: Support 280,000 people with a budget of $1,200,000.

Sector-specific actions:
- Deploy emergency shelters in Dhofar and Al Wusta governorates.
- Distribute emergency food rations across Hadramaut and Somaliland.
- Ensure access to clean water in flood-affected areas.
- Provide immediate health services in remote affected communities.
- Safeguard vulnerable groups in displacement sites.

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
beryl_2024,Hurricane Beryl,2024,"Jamaica, Grenada, Barbados, United States, Mexico",3200000,"Ideal Response Plan for Hurricane Beryl (2024)

Affected countries/territories: Jamaica, Grenada, Barbados, United States, Mexico
Estimated population affected: 3,200,000

Key priorities:
- Shelter: Support 800,000 people with a budget of $3,500,000.
- Food Security: Support 400,000 people with a budget of $2,500,000.
- WASH: Support 350,000 people with a budget of $1,800,000.
- Health: Support 288,000 people with a budget of $1,500,000.
- Protection: Support 200,000 people with a budget of $1,200,000.

Sector-specific actions:
- Deploy emergency shelters in Grenada and Saint Vincent and the Grenadines where 70-98% of buildings were destroyed.
- Distribute emergency food rations and support agricultural recovery in Jamaica.
- Ensure access to clean water and sanitation across hurricane-affected Caribbean islands.
- Provide health services and restore damaged medical facilities in Grenada.
- Safeguard vulnerable groups especially women and children in evacuation shelters.

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
milton_2024,Hurricane Milton,2024,"United States, Cuba, Jamaica",4500000,"Ideal Response Plan for Hurricane Milton (2024)

Affected countries/territories: United States, Cuba, Jamaica
Estimated population affected: 4,500,000

Key priorities:
- Shelter: Support 1,500,000 people with a budget of $18,000,000.
- Food Security: Support 950,000 people with a budget of $9,500,000.
- Health: Support 750,000 people with a budget of $6,000,000.
- WASH: Support 500,000 people with a budget of $3,500,000.
- Protection: Support 400,000 people with a budget of $2,500,000.

Sector-specific actions:
- Deploy emergency shelters and support home repairs across Florida.
- Distribute emergency food rations and restore supply chains.
- Provide immediate health services and address tornado injury victims.
- Ensure access to clean water in storm-surge affected coastal areas.
- Safeguard vulnerable populations in mass evacuation shelters.

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
helene_2024,Hurricane Helene,2024,"United States, Bahamas",2800000,"Ideal Response Plan for Hurricane Helene (2024)

Affected countries/territories: United States, Bahamas
Estimated population affected: 2,800,000

Key priorities:
- Shelter: Support 900,000 people with a budget of $15,000,000.
- Food Security: Support 700,000 people with a budget of $8,500,000.
- Health: Support 500,000 people with a budget of $5,000,000.
- WASH: Support 400,000 people with a budget of $3,500,000.
- Protection: Support 300,000 people with a budget of $2,500,000.

Sector-specific actions:
- Deploy emergency shelters in western North Carolina and Big Bend Florida.
- Distribute food supplies to isolated mountain communities in Appalachia.
- Provide health services and restore access to damaged medical facilities.
- Ensure access to clean water in flood-devastated Asheville and surrounding areas.
- Safeguard vulnerable mountain communities cut off by catastrophic flooding.

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
melissa_2025,Hurricane Melissa,2025,"Jamaica, Cuba, Haiti, Dominican Republic",4200000,"Ideal Response Plan for Hurricane Melissa (2025)

Affected countries/territories: Jamaica, Cuba, Haiti, Dominican Republic
Estimated population affected: 4,200,000

Key priorities:
- Shelter: Support 1,800,000 people with a budget of $12,000,000.
- Food Security: Support 1,200,000 people with a budget of $8,500,000.
- Health: Support 900,000 people with a budget of $4,500,000.
- WASH: Support 700,000 people with a budget of $3,200,000.
- Protection: Support 500,000 people with a budget of $2,500,000.

Sector-specific actions:
- Deploy emergency shelters across Jamaica where 40-50% of hotels were damaged.
- Distribute emergency food to 900,000 people evacuated to shelters in Cuba.
- Provide health services and contain leptospirosis outbreak post-hurricane.
- Ensure access to clean water in Haiti where infrastructure was devastated.
- Safeguard thousands of displaced women and girls across the Caribbean.

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
erin_2025,Hurricane Erin,2025,United States,1800000,"Ideal Response Plan for Hurricane Erin (2025)

Affected countries/territories: United States
Estimated population affected: 1,800,000

Key priorities:
- Shelter: Support 500,000 people with a budget of $3,500,000.
- Protection: Support 400,000 people with a budget of $2,200,000.
- WASH: Support 300,000 people with a budget of $1,800,000.
- Health: Support 350,000 people with a budget of $1,500,000.
- Food Security: Support 250,000 people with a budget of $1,200,000.

Sector-specific actions:
- Deploy coastal evacuation shelters along U.S. East Coast.
- Safeguard vulnerable coastal communities from dangerous surf and storm surge.
- Ensure access to clean water in areas affected by coastal flooding.
- Provide health services for rip current and storm surge injuries.
- Distribute emergency food supplies to affected coastal communities.

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
humberto_2025,Hurricane Humberto,2025,Bermuda,65000,"Ideal Response Plan for Hurricane Humberto (2025)

Affected countries/territories: Bermuda
Estimated population affected: 65,000

Key priorities:
- Shelter: Support 35,000 people with a budget of $1,200,000.
- WASH: Support 20,000 people with a budget of $800,000.
- Health: Support 15,000 people with a budget of $600,000.
- Food Security: Support 10,000 people with a budget of $500,000.
- Protection: Support 8,000 people with a budget of $400,000.

Sector-specific actions:
- Deploy emergency shelters and support home repairs in Bermuda.
- Ensure access to clean water following storm surge damage.
- Provide health services for storm-related injuries.
- Distribute emergency food supplies during power outages.
- Safeguard vulnerable populations during tropical storm conditions.

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
gabrielle_2025,Hurricane Gabrielle,2025,"Azores, Spain, Portugal",850000,"Ideal Response Plan for Hurricane Gabrielle (2025)

Affected countries/territories: Azores, Spain, Portugal
Estimated population affected: 850,000

Key priorities:
- Shelter: Support 245,000 people with a budget of $3,500,000.
- WASH: Support 200,000 people with a budget of $2,200,000.
- Health: Support 180,000 people with a budget of $1,800,000.
- Protection: Support 150,000 people with a budget of $1,500,000.
- Food Security: Support 120,000 people with a budget of $1,200,000.

Sector-specific actions:
- Deploy emergency shelters in Azores where hurricane-force gusts reached 115 mph.
- Ensure access to clean water in flood-affected areas of Portugal.
- Provide health services across Terceira Island and mainland Portugal.
- Safeguard vulnerable populations in areas with collapsed infrastructure.
- Distribute emergency food supplies during prolonged power outages.

All actions follow UN best-practice humanitarian response standards, prioritizing life-saving interventions, disease prevention, and rapid recovery."
